customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
001-AB-1234,Male,0,Yes,No,12,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card,35.40,354.0,No
001-AB-5678,Female,0,No,No,24,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,No,Bank transfer (automatic),74.85,1743.0,No
001-AB-9012,Male,1,No,No,2,No,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,24.55,45.0,Yes
001-AB-3456,Female,0,Yes,Yes,72,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Two year,No,Credit card,55.20,4115.0,No
001-AB-7890,Male,0,Yes,No,12,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,84.70,987.0,Yes
001-AB-1111,Female,1,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card,74.65,74.65,Yes
001-AB-2222,Male,0,Yes,Yes,48,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,Two year,No,Bank transfer (automatic),57.30,2698.0,No
001-AB-3333,Female,0,No,No,6,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,44.15,259.0,No
001-AB-4444,Male,1,No,No,18,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.85,1698.0,Yes
001-AB-5555,Female,0,Yes,Yes,36,Yes,Yes,DSL,Yes,No,Yes,No,No,No,Two year,No,Credit card,51.95,1845.0,No
001-AB-6666,Male,0,No,No,3,No,No,No,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,20.60,58.0,Yes
001-AB-7777,Female,1,Yes,No,30,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Bank transfer (automatic),111.45,3318.0,No
